repo_id,repo_owner,repo_name,repo_scraped
16741885,datadesk,leaflet-image,Yes
56249952,guardian,tracker-data-store,Yes
117118759,BostonGlobe,getRouthLatLngOSRM,Yes
120808474,slategroup,audiogram,Yes
99351668,theatlantic,arion,Yes
30015995,bbc,newsspec_9601,Yes
335669048,nytimes,go-compare-expressions,Yes
45551790,associatedpress,pdfshaver,Yes
87361618,slategroup,clay-kiln,Yes
73857769,baltimore-sun-data,worst-landlords-2016,Yes
244425535,guardian,interactive-atom-coronavirus-carousel,Yes
312292980,guardian,full-story-series-page-thrasher,Yes
160857842,baltimore-sun-data,census-data-analysis-2018,Yes
476763401,guardian,actions-riff-raff,Yes
4523614,slategroup,jquery.roadblocked,Yes
57136789,guardian,lambda-boilerplate,Yes
55519062,guardian,transfer-tree_2016,Yes
114408108,nydailynews,how-long,Yes
173755337,guardian,athena-date-partitioning,Yes
136766399,datadesk,html-snippet-generator,Yes
48241038,guardian,interactive-survey-results,Yes
17919145,nytimes,sneeze,Yes
517204485,guardian,202207-cfs-flipcards,Yes
60274828,nytimes,sugarcli-nyt,Yes
191583402,ajcnews,internet_speeds_GA,Yes
154576692,washingtonpost,serverless-plugin-nametag,Yes
322008596,bbc,2020-creative-coding-hack,Yes
16204880,guardian,crosswords-api-scala-client,Yes
20920091,bbc,newsspec_7375,Yes
39611778,BuzzFeedNews,2015-07-h2-visas-and-enforcement,Yes
2053330,bbc,Similarity,Yes
180674930,voxmedia,fetch-retry,Yes
102128150,striblab,follownet,Yes
154174899,BuzzFeedNews,2018-10-russian-troll-tweets,Yes
29988937,nprapps,HypChat,Yes
50046302,denverpost,killstorm,Yes
170690567,gawkermedia,storybook-deployer,Yes
426319096,bloomberg,datalake-metrics-db,Yes
25929141,bbc,newsspec_8826,Yes
69467176,washingtonpost,kinesis-customer-sample,Yes
27408322,datadesk,us-ca-shasta_county-ShastaCountySitusPoints-shp,Yes
3140814,br,twke,Yes
25366686,denverpost,infinite-article,Yes
33329685,USATODAY,2015-festivals,Yes
103691879,nydailynews,to-https,Yes
40191111,bbc,clever-thumbnailer,Yes
89496020,striblab,20161103-campaign_finance,Yes
47986036,guardian,story-packages-model,Yes
55260328,ReutersTV,sailthru-python-client,Yes
35289830,hartfordcourant,marteka_hiking,Yes
6708245,guardian,r2linkauditor,Yes
101196033,guardian,ZuoraRefunder,Yes
214201703,bbc,news-and-weather-apps-coding-challenge-android,Yes
150145702,newsdaycom,stackpath-php-sdk,Yes
36499699,guardian,aws-pen-test-form,Yes
152638803,phillymedia,ddamix,Yes
81484484,associatedpress,cookiecutter-ruby-gem,Yes
99517887,The-Politico,politico-megadraft-image-plugin,Yes
39656769,fivethirtyeight,multi-slider,Yes
50453036,denverpost,site-launch-checklist,Yes
51552889,buzzfeed-openlab,bumpy-lumpy,Yes
111737907,sfchronicle,plaza-poll,Yes
55725717,fivethirtyeight,victory-chart,Yes
107887715,theatlantic,slack-plugin,Yes
75387324,guardian,lambda-scala-boilerplate.g8,Yes
306708094,BostonGlobe,js-d3-parliament,Yes
48720878,br,ex_machina,Yes
238995566,striblab,20200303-primary-homepage-widget,Yes
139609804,seattletimes,crime-rate-change,Yes
140281878,guardian,interactive-guide-enhancer,Yes
43547320,guardian,videojs-playlist,Yes
62077617,bleacherreport,ecto_cursor_pagination,Yes
132739122,bbc,irfs-bre-gignmix,Yes
462947708,guardian,oz-220224-vic-covid-deaths-small-charts,Yes
27501012,guardian,videojs-embed,Yes
7247164,slategroup,JS-Redirection-Mobile-Site,Yes
42599140,associatedpress,libreoffice,Yes
42385600,BostonGlobe,slushgraphic-template,Yes
342231249,bbc,adhere-lib,Yes
10475771,guardian,status-app,Yes
164877562,striblab,201901-achievementgap,Yes
159630077,guardian,australian-parliament-voting-calculator,Yes
50847620,guardian,thrift-serializer,Yes
349233798,sdut-datadesk,hit-rate-analysis-sdpd,Yes
6412935,newsapps,p2p-python,Yes
2112508,bbc,radiotag-radio,Yes
64679945,baltimore-sun-data,ec-flooding-08012016,Yes
42698541,slategroup,chromaprint,Yes
82839433,guardian,interactive-atom-secureContact,Yes
63251332,refinery29,react-build,Yes
46360220,guardian,interactive-immersive-article-video-header,Yes
276857937,bbc,gnl-aws-elasticache-cluster-client-libmemcached,Yes
212204136,dallasnews,dmn-vendor-wrapper,Yes
202764549,wpinvestigative,arcos,Yes
424726731,bloomberg,emnlp21_fewrel,Yes
105780656,SunSentinel,p2p-builder,Yes
110596133,bloomberg,fortran-src,Yes
15551543,nprapps,photo-finder,Yes
157744761,njam-data,data-toolbox,Yes
68333810,DallasMorningNews,interactive_rangers-comeback-kings,Yes
157234146,bbc,rd-ext-lib-zeroconf-monkey,Yes
234078273,bbc,refstack-client,Yes
184818791,datadesk,native-american-census-analysis,Yes
87490081,guardian,interactive-video-wall-template,Yes
106053604,buzzfeed-openlab,sms-fortune-cookie,Yes
96085986,guardian,interactive-brexit-talks,Yes
104079928,guardian,interactive-german-components,Yes
320690083,seattletimes,fyi-guy-covid-hra-december,Yes
127918547,voxmedia,webpack-subresource-integrity,Yes
3518295,theatlantic,django-mysqlndb-backend,Yes
312617566,bbc,rollup,Yes
144857601,Bloomberg-Beta,Investment-Documents,Yes
76966800,BuzzFeedNews,2016-12-warmest-year,Yes
28982177,nprapps,barkedu,Yes
125537362,bloomberg,mapnik,Yes
340513176,njam-data,new-jersey-counties,Yes
349239632,sdut-datadesk,beat-analysis-sdpd,Yes
424929659,guardian,interactive-ndc-climate-tracker,Yes
238314209,The-Politico,notebook_non-voter-decision-tree,Yes
95102948,bbc,fluent-plugin-sumologic,Yes
79477562,BuzzFeedNews,2017-01-media-platform-and-news-trust-survey,Yes
18679417,bloomberg,blpapi-hs,Yes
41198163,guardian,coding-exercise-project,Yes
16110424,guardian,next,Yes
156435877,striblab,20181107-comparison-maps,Yes
54760105,denverpost,multi-rss-mailer,Yes
329010047,guardian,rendering,Yes
27069155,denverpost,stateofhope,Yes
73017326,DallasMorningNews,stateface,Yes
179791660,seattletimes,city-council-2019,Yes
66995109,cnnlabs,navigation-timing,Yes
247723703,striblab,202003-cancellations,Yes
192757814,guardian,interactive-nireland-crossings,Yes
88751678,The-Politico,jobs,Yes
36301833,nprapps,authomatic,Yes
12961536,denverpost,storm-chaser,Yes
109284583,dailybeast,react-lazy-load,Yes
45624801,BuzzFeedNews,H-2-certification-data,Yes
289903549,guardian,eotk,Yes
59137872,npr,contentApiViewer,Yes
331591304,bbc,openstack-ansible-os_neutron,Yes
38006133,denverpost,matrimoney,Yes
411140085,guardian,202109_specsavers_quiz,Yes
35145686,bloomberg,bde-allocator-benchmarks,Yes
153320854,striblab,20181107-turnout,Yes
9814348,BostonGlobe,swatch-libraries,Yes
51374627,bbc,charter-drafts,Yes
106329072,striblab,20170427-mnar_formatter,Yes
76289348,seattletimes,best-books-2016,Yes
30308932,voxmedia,autotune,Yes
17284292,guardian,scribe-plugin-toolbar,Yes
400640988,nprapps,elections21-governors,Yes
133958562,guardian,irish-referendum-interactive,Yes
293937056,seattletimes,sue-bird-record,Yes
102106301,guardian,pa-scout,Yes
7872055,nprapps,totebot,Yes
248873862,seattletimes,wa-coronavirus-counts,Yes
34338751,guardian,interactive-photo-story,Yes
12302094,theatlantic,pyexiv2,Yes
4407434,guardian,sbt-jshint-plugin,Yes
51962800,guardian,bare-bones-blog,Yes
360853110,guardian,2021-interactive-councillors-gains-maps,Yes
93850093,guardian,techtime,Yes
87568192,SunSentinel,Chartbuilder,Yes
49883734,bbc,mozart-logger,Yes
110102465,guardian,interactive-guardian-mapping-tool,Yes
358805129,seattletimes,home-buying-list-flip,Yes
66301136,seattletimes,wa-voter-map,Yes
68910890,washingtonpost,docker-sangrenel,Yes
105778434,nprapps,federal-aid-data,Yes
202177128,bbc,cepr,Yes
131447012,datadesk,california-k12-notebooks,Yes
98518469,guardian,interactive-bolt,Yes
29879844,seattletimes,fan-predictions,Yes
56316428,PostDispatchInteractive,visuals-workflow-documentation,Yes
349434380,bbc,pattern,Yes
14336643,nprapps,healthcare,Yes
165305073,striblab,20190831-nilf,Yes
298119686,bbc,homebrew-gridcli,Yes
105253850,bbc,typescript-docs-verifier,Yes
140309576,bbc,rd-ansible-refstack,Yes
94439721,bbc,alpha,Yes
158426862,guardian,interactive-food-toxicity,Yes
44139086,DallasMorningNews,generator-dmninteractives,Yes
21977212,guardian,guss-webfonts,Yes
49278916,BostonGlobe,pym.js,Yes
37062419,ReutersTV,objection,Yes
187622697,bbc,digital-paper-edit-electron,Yes
327868836,bbc,numeral_archive,Yes
39389999,guardian,koa-gu,Yes
87951634,The-Politico,generator-politico-interactives,Yes
157484995,seattletimes,congressional-district8,Yes
145011089,buzzfeed,sso,Yes
80220016,bbc,a11y-tests-web,Yes
122944719,guardian,inspector-lambda,Yes
133694144,datadesk,altair-area-examples,Yes
518952562,USATODAY,displacement-typologies,Yes
37273094,sfchronicle,flask-breakingnews-admin,Yes
267017456,guardian,atoms-rendering,Yes
98929056,refinery29,collectd-rabbitmq,Yes
223377447,bbc,digital-paper-edit-firebase,Yes
47588071,seattletimes,ace-quiz,Yes
227943506,sfchronicle,video-processing,Yes
32470181,guardian,interactive-coalition-builder-2015,Yes
92229911,sfchronicle,bart-lookup,Yes
17830842,bbc,newsspec_6817,Yes
92087685,baltimore-sun-data,maryland-salaries,Yes
86748442,nymag,big-query-importer,Yes
7097455,theatlantic,raven-python,Yes
52362423,guardian,lambda-elasticsearch,Yes
2547180,guardian,bootstrap,Yes
37942815,br,edown,Yes
61765191,cnnlabs,organization-docs,Yes
278677336,VICEMedia,informationsystems__python-test,Yes
7168687,bbc,ruby-lsh,Yes
47765866,nytimes,gunsales,Yes
288948877,bbc,ruby-bbc-week,Yes
136237971,seattletimes,student-voices-2018,Yes
24650337,fivethirtyeight,pym.js,Yes
15310272,guardian,film-api-prototype,Yes
490652151,guardian,formats-explorer,Yes
137508503,striblab,20180615-house-explainer,Yes
203554695,bbc,gourmet-sentence-pairs-evaluation,Yes
105924727,bbc,nmos-registration,Yes
86246615,theatlantic,django-sortedm2m,Yes
150800849,BuzzFeedNews,2018-09-ftc-analysis,Yes
100992432,seattletimes,great-movies-2017,Yes
85962854,guardian,interactive-atom-queen-london-bridge-operation,Yes
48060472,nytimes,gizmo,Yes
17284282,guardian,scribe-plugin-link-prompt-command,Yes
195029222,gawkermedia,sbt-scalafix,Yes
178947280,bustle,mocha,Yes
95224663,guardian,bootscript-template,Yes
43894871,mashable,gnip-kinesis-connector,Yes
232312823,guardian,editorial-code,Yes
16726550,bbc,viewporter,Yes
320403529,bloomberg,emnlp20_depsrl,Yes
229714118,bbc,foxglove,Yes
58224709,mashable,thumbor_flexible_validation,Yes
208910648,The-Politico,us-elections,Yes
39474905,seattletimes,candidate-quiz,Yes
243014813,bbc,TDD_Coordinators_TestingAppDelegate,Yes
21820951,guardian,gu-review,Yes
40664901,guardian,rubybakes,Yes
355992957,bloomberg,TypeScript-Website,Yes
101773918,voxmedia,s3deploy-ruby,Yes
37377578,USATODAY,scotus-tracker,Yes
148382139,denverpost,geo-lookup,Yes
42986115,bbc,forever-agent,Yes
17026238,slategroup,OmnitureTextLoader,Yes
59779147,TimeMagazine,nearest_city,Yes
28198851,denverpost,specialtemplate,Yes
421457312,guardian,newsletter-signuppage-techscape,Yes
90385085,bloomberg,pybossa,Yes
206138894,guardian,vis-extension,Yes
102494481,gawkermedia,dnsdiff,Yes
341499042,bbc,ansible-keepalived,Yes
165844307,guardian,formstack-submitter-ts,Yes
59204641,BostonGlobe,pym-test,Yes
99973723,guardian,2017-interactive-aus-census-maps,Yes
18319043,mashable,elasticsearch-rails,Yes
39035648,nprapps,katrina-maps,Yes
454570629,The-Politico,tween-titan,Yes
455894813,newsdaycom,express-docker-template,Yes
125927269,datadesk,census,Yes
94505403,sfchronicle,transchild,Yes
515622394,guardian,csnx,Yes
223243964,seattletimes,apple-cup-predictions-2019,Yes
48768173,nprapps,elections16,Yes
25885499,bbc,newsspec_6762,Yes
14023847,guardian,dynamo-db-switches,Yes
215556787,slategroup,laravel-big,Yes
236112896,seattletimes,oscars-poll-2020,Yes
51077795,cnnlabs,cnn-health,Yes
358008820,reuters-graphics,chart-module-topic-polling,Yes
90303832,PostDispatchInteractive,archieml-python,Yes
4366706,BostonGlobe,artmap,Yes
167229660,guardian,interactive-populist-countries,Yes
32526052,bbc,newsspec_10364,Yes
17487895,nprapps,borders-map,Yes
34917676,hartfordcourant,mytowns_headlines,Yes
76878614,bloomberg,startup-python-bootcamp,Yes
173243777,guardian,animated-frontier-massacres,Yes
68858423,datadesk,california-2016-election-precinct-maps,Yes
49664416,bbc,s3,Yes
53499418,BostonGlobe,sports-charts,Yes
211900624,gawkermedia,sbt-plugin,Yes
105151219,guardian,interactive-atom-cards,Yes
138184443,theatlantic,smoketest,Yes
77255740,sfchronicle,cow-palace,Yes
223940541,guardian,configs,Yes
321795636,PostDispatchInteractive,agate-remote,Yes
187671237,datahub,the-lake-debate,Yes
49666242,nprapps,flickity,Yes
56537379,datadesk,kobe-every-shot-ever,Yes
296404645,guardian,interactive-future-city,Yes
226327350,guardian,akka-vidispine-components,Yes
52629760,seattletimes,ed-funding,Yes
201296881,newsapps,gatsby-test,Yes
94735294,axiosvisuals,2017-06-19-proj-polarized-statehouses,Yes
255400915,seattletimes,federal-mortgages,Yes
27202049,denverpost,homelessstudents,Yes
171704501,nymag,songbird,Yes
328034723,wpinvestigative,us_capitol_police_reports,Yes
28078276,bbc,sqs-producer,Yes
63800172,bustle,ember-pikaday,Yes
104384265,bloomberg,stream-reactor,Yes
66499005,DallasMorningNews,interactive_memorials,Yes
112779685,datadesk,django-haystack,Yes
19516788,nprapps,visits,Yes
341471599,bbc,DF-1165-kids-content-adult-or-child-profiles,Yes
221916905,guardian,zuora-undo,Yes
437814164,guardian,wowza-media-server-build,Yes
16745597,datahub,django-decorators,Yes
60248686,guardian,mock-clever-friend-data,Yes
220315379,datadesk,wine-country-fires,Yes
174578457,nytimes,library,Yes
101211545,seattletimes,huskies-predictions-2017,Yes
171436749,seattletimes,react-app,Yes
253779951,reuters-graphics,action_covid-google-mobility,Yes
36519282,seattletimes,us-open-course,Yes
153839441,VICEMedia,nginx-s3,Yes
200030560,guardian,sbt-release,Yes
97769319,seattletimes,hiking-trails-guide,Yes
1304119,newsapps,boundaryservice,Yes
160841967,bbc,librenms,Yes
34928037,theatlantic,host,Yes
349095392,voxmedia,coral-tech-eval,Yes
105642317,guardian,interactive-atom-trends-aw-2017,Yes
176388064,seattletimes,homicides-3yr,Yes
39859868,guardian,marley,Yes
288827837,refinery29,semantics3-php,Yes
378162242,guardian,interactive-vaccinations-table,Yes
14442646,denverpost,colorado-flooding-map,Yes
12436244,VICEMedia,SonataUserBundle,Yes
284934317,guardian,cdk-ts-starter,Yes
77000329,seattletimes,christmas-banner,Yes
195782387,guardian,data-lake-alerts,Yes
3161409,bbc,stomp,Yes
80059795,sfchronicle,mission-bay-map,Yes
109710098,bbc,academy-website-styleguide,Yes
24324385,guardian,flexible-content-block-to-text,Yes
64245549,buzzfeed,adjust_ios_sdk,Yes
135599870,guardian,maptool-textures-selections-test,Yes
80747637,voxmedia,thumbor_rewrite_loader,Yes
111749996,sfchronicle,2017-bar-stars,Yes
49458516,seattletimes,seahawks-photo-quiz,Yes
43877389,guardian,miniegg,Yes
89010475,BostonGlobe,hack-days,Yes
54425315,PostDispatchInteractive,chartbuilder-pd,Yes
195058097,guardian,multiplatform-ophan,Yes
225669735,bloomberg,ppx_string_interpolation,Yes
7034022,guardian,facebook-web-clients,Yes
158707356,guardian,frictionscreen,Yes
62827550,PopSugar,php-resque-ex,Yes
180506631,guardian,test-raster-map,Yes
187622302,bbc,digital-paper-edit-cep,Yes
14757528,br,offline-install,Yes
160425917,refinery29,fastly-py,Yes
99717643,sfchronicle,outside-lands-timeline,Yes
96930335,voxmedia,ai2html,Yes
232130972,striblab,2019-top-nonprofits,Yes
168076926,guardian,australian-frontier-massacres,Yes
35004872,BuzzFeedNews,2015-05-talkpay-tweets,Yes
34661551,guardian,chrometool,Yes
174517336,bbc,flask-sqlalchemy,Yes
60197054,guardian,transfer-window-s2016,Yes
63811238,seattletimes,pizza-bracket,Yes
85616647,bbc,umcp-speed-test,Yes
142181884,phillymedia,tourist-attractions-rating,Yes
29931189,theatlantic,django,Yes
36535211,seattletimes,top-companies-2015,Yes
4728919,guardian,vagrants,Yes
93575421,datadesk,slack-buttons-example,Yes
126509289,gawkermedia,table,Yes
78794570,buzzfeed-openlab,real-senate-floor,Yes
2231631,theatlantic,mongodb-engine,Yes
27139551,guardian,interactive-tsunami-10-years,Yes
40572331,sfchronicle,jumping-the-shark,Yes
69132059,DallasMorningNews,html2canvas,Yes
2345994,theatlantic,djangotoolbox,Yes
244687236,associatedpress,cookiecutter-generic-project,Yes
266881296,bbc,join-us,Yes
78838857,guardian,commercial-shared,Yes
86630859,seattletimes,cartographer,Yes
42193493,refinery29,api-output,Yes
75766113,seattletimes,marijuana-eradication,Yes
46454116,denverpost,twitbot,Yes
30720130,USATODAY,oscar-dresses,Yes
220285697,bbc,convert-to-audio,Yes
316474602,guardian,random-article-ids,Yes
391158409,njam-data,diversity-index,Yes
72210679,gawkermedia,traverse-dom,Yes
151505966,The-Politico,politico-2018-district-similarity-maps,Yes
74184963,sfchronicle,divisionstreet,Yes
92136097,bbc,openroutey,Yes
148664743,bloomberg,xar,Yes
303807170,bloomberg,tdd-labs,Yes
237002421,bbc,gbm_es2_demo,Yes
228688906,bbc,nbdev-vaex-pyarrow-demo,Yes
38722034,bustle,broccoli-amd-loader,Yes
38696725,guardian,interactive-ashes,Yes
34508323,bbc,node-libxslt-old,Yes
153654626,BuzzFeedNews,2018-10-midterm-demographics,Yes
55505110,guardian,content_delivery_system,Yes
90645263,nytimes,video-captions-api,Yes
180536519,guardian,contributions-dashboard,Yes
22697836,guardian,scribe-editor-element,Yes
91504060,cnnlabs,cnn-server,Yes
54636155,guardian,front-pressed-lambda,Yes
88078436,TheOregonian,PPS,Yes
40661264,ReutersTV,dash.js,Yes
46595170,denverpost,holiday-lights,Yes
66876246,seattletimes,home-teardowns,Yes
5516066,washingtonpost-archive,post-open-presentations,Yes
4438789,washingtonpost,django-mongolier,Yes
30027109,USATODAY,black-history,Yes
117023321,guardian,nab-financial-resilience-interactive,Yes
380303436,bbc,rd-cloudfit-python-aiocypher,Yes
80638290,phillymedia,lazy-load-converter,Yes
283249367,cnnlabs,REL,Yes
97342699,datadesk,python-censusbatchgeocoder-examples,Yes
167380749,guardian,sophie-practical-scala-test,Yes
52980143,guardian,labs-panels,Yes
196586915,VICEMedia,huxley,Yes
27770528,bbc,bbc-http-restclient,Yes
104085037,BuzzFeedNews,2017-09-harvey-emissions-update,Yes
68964088,npr,jsoneditor,Yes
160433086,USATODAY,poisoned-city-deadly-border,Yes
91068701,bbc,iplayer-web-speedtracker,Yes
14757394,br,boxcar,Yes
52700764,BostonGlobe,2016_primaries_map,Yes
326826802,slategroup,amphora-auth,Yes
29256741,USATODAY,movie-awards-2014,Yes
41927774,tbtimes,d3-jetpack,Yes
6552187,PostDispatchInteractive,quizReader,Yes
36077157,guardian,interactive-magna-carta,Yes
122349443,guardian,redact-pdf-cli,Yes
4272775,guardian,guardian-polls,Yes
93066457,guardian,interactive-beeswarms,Yes
142193739,theatlantic,lazysizes,Yes
26283454,denverpost,sports,Yes
143207206,striblab,20180705-filings,Yes
19816826,guardian,open-platform-site,Yes
314518702,guardian,word-of-the-year,Yes
78607808,sfchronicle,snowwater,Yes
186817866,guardian,edition-rules-collab,Yes
97635187,nprapps,global-immunization,Yes
189445794,njam-data,NJAM-datatables-JSON,Yes
39067420,guardian,interactive-chinatrade,Yes
103285284,npr,Podcast-Feed-Library,Yes
199504942,BuzzFeedNews,2019-08-actblue-donations,Yes
83745544,seattletimes,Sounders-starting-XI-2017,Yes
72008775,guardian,content-delivery-system-v4,Yes
43422856,guardian,fuelticker,Yes
104513849,BostonGlobe,amazonhq2MA,Yes
68949956,cnnlabs,amp-validator,Yes
349406474,guardian,Android-News-App-Source,Yes
250434100,guardian,vic-corona-map,Yes
49727851,guardian,httpie-hmac-auth,Yes
63857648,guardian,interactive-olympics-key-moments,Yes
84095255,npr,swagger-node-express,Yes
465815730,npr,NetStorageKit-PHP,Yes
7879209,nprapps,sotu,Yes
41357897,guardian,content-atom,Yes
405942392,bbc,audio-orchestration,Yes
42861169,guardian,interactive-migration,Yes
128219312,guardian,manage-frontend,Yes
124247811,guardian,interactive-atom-2018-medals,Yes
251598174,bbc,openstack-ansible-os_keystone,Yes
27153499,seattletimes,photo-of-the-year-2014,Yes
25837111,tbtimes,election-tables,Yes
4602734,theatlantic,pip,Yes
33691166,br,coreos-vagrant,Yes
39400216,voxmedia,userstamp,Yes
37622546,BostonGlobe,slush-globegraphic,Yes
299371635,bbc,wasi-sdk,Yes
126518400,datadesk,ffs,Yes
119417675,baltimore-sun-data,small-plate,Yes
55998741,denverpost,data,Yes
7777332,bbc,wraith,Yes
9978651,guardian,SwipeView,Yes
140503390,guardian,australian-expired-licenses,Yes
39244552,guardian,gdn-smooth-operator,Yes
156731770,striblab,greater-mn-retail,Yes
16765957,bbc,crimp,Yes
80572284,BuzzFeedNews,2017-01-immigration-and-science,Yes
436507752,guardian,202112-OPSM-flipcards,Yes
243578355,guardian,twitter-cache-clearing-go,Yes
